YEAR,MONTH,DAY,LAT1,LON1,PRES1,WS1,LAT2,LON2,PRES2,WS2,LAT3,LON3,PRES3,WS3,LAT4,LON4,PRES4,WS4,CATEGORY,HR,,,,,,,
16,7,3,89,1449,1002,35,92,1448,1002,35,100,1444,1000,35,109,1439,996,40,5,60,,,,,,,
16,7,26.25,185,1120,998,40,185,1108,996,40,189,1097,996,40,197,1086,998,35,4,12,,,,,,,
16,7,30.25,155,1258,998,35,164,1244,994,40,169,1238,990,45,175,1231,985,50,4,6,,,,,,,
16,8,4,184,1485,998,35,188,1485,998,35,192,1485,998,35,198,1484,996,35,4,24,,,,,,,
16,8,9,169,1593,1000,35,168,1587,996,40,170,1578,990,45,177,1569,990,45,3,6,,,,,,,
16,8,13.75,209,1429,994,35,220,1436,994,35,234,1442,992,40,246,1445,990,45,4,60,,,,,,,
16,8,17.75,211,1122,985,35,209,1113,985,35,208,1103,985,35,205,1092,985,35,3,5,,,,,,,
16,8,19.25,178,1418,994,35,187,1409,994,35,194,1406,992,40,204,1408,992,40,5,48,,,,,,,
16,8,21.5,292,1333,992,35,288,1332,990,40,288,1334,990,40,287,1337,990,40,5,144,,,,,,,
16,9,1,238,1277,998,35,244,1290,994,45,250,1302,985,55,253,1305,985,55,5,30,,,,,,,
16,9,10.25,148,1392,1000,35,153,1379,998,35,160,1369,990,45,164,1357,980,55,5,60,,,,,,,
16,9,12.75,138,1394,1000,35,142,1381,996,40,145,1370,990,45,147,1359,990,45,5,90,,,,,,,
16,9,23.75,169,1376,994,35,175,1365,990,40,183,1353,980,45,187,1339,975,55,5,78,,,,,,,
16,9,29.25,137,1418,1000,35,135,1405,1000,35,134,1392,992,45,138,1381,990,50,5,96,,,,,,,
16,10,5.75,201,1221,998,35,206,1205,998,35,207,1190,998,35,206,1178,994,40,4,30,,,,,,,
16,10,8.5,199,1544,1000,35,206,1527,1000,35,212,1513,1000,35,221,1500,996,40,5,60,,,,,,,
16,10,13.75,135,1273,998,35,136,1267,994,40,137,1263,990,45,138,1259,980,55,5,30,,,,,,,
16,10,15,88,1429,1000,35,91,1421,996,40,95,1407,992,45,97,1400,985,50,5,72,,,,,,,
16,11,3,133,1373,996,35,137,1373,996,35,140,1374,996,35,143,1379,992,40,5,42,,,,,,,
16,11,10,169,1569,1002,35,173,1559,1002,35,175,1545,1002,35,179,1535,1002,35,3,6,,,,,,,
16,11,25.6,117,1207,998,35,126,1199,994,45,132,1187,992,50,138,1177,994,45,3,6,,,,,,,
,12,21.75,78,1400,998,35,86,1391,994,40,94,1378,994,40,102,1363,992,45,5,28,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
